trade_date,open,high,low,close,prev_close,volume,turnover_lakhs,num_trades,delivery_qty,delivery_pct,adjusted_close,adjustment_factor,symbol
2024-02-22,1417.75,1428.8,1412.2,1419.55,1439.15,25280441,358927.44,477326.0,,,709.775,0.5,HDFCBANK
2024-02-23,1422.55,1433.9,1418.0,1420.6,1419.55,14916726,212604.19,335851.0,,,710.3,0.5,HDFCBANK
2024-02-26,1413.55,1434.85,1413.55,1422.3,1420.6,11753435,167605.79,381979.0,,,711.15,0.5,HDFCBANK
2024-02-27,1413.55,1426.7,1413.05,1420.15,1422.3,16043575,227811.2,384714.0,,,710.075,0.5,HDFCBANK
2024-02-28,1420.15,1424.2,1404.0,1409.4,1420.15,12660993,179100.38,302672.0,,,704.7,0.5,HDFCBANK
2024-02-29,1402.1,1410.4,1397.3,1403.4,1409.4,26647850,373925.69,567422.0,,,701.7,0.5,HDFCBANK
2024-03-01,1400.0,1432.75,1400.0,1430.75,1403.4,17369449,246565.07,430030.0,,,715.375,0.5,HDFCBANK
2024-03-04,1430.95,1437.0,1424.3,1432.7,1430.75,17808237,254802.71,320401.0,,,716.35,0.5,HDFCBANK
2024-03-05,1422.0,1443.0,1421.65,1440.85,1432.7,18995836,272152.49,345780.0,,,720.425,0.5,HDFCBANK
2024-03-06,1433.55,1452.85,1433.55,1442.6,1440.85,21204765,306259.7,429803.0,,,721.3,0.5,HDFCBANK
2024-03-07,1445.5,1451.05,1441.4,1446.1,1442.6,24674023,356595.22,301040.0,,,723.05,0.5,HDFCBANK
2024-03-11,1430.0,1445.95,1423.0,1427.8,1446.1,25265547,361691.86,400746.0,,,713.9,0.5,HDFCBANK
2024-03-12,1434.0,1464.0,1429.25,1459.55,1427.8,32709227,475989.04,563469.0,,,729.775,0.5,HDFCBANK
2024-03-13,1465.5,1471.6,1450.1,1460.4,1459.55,31533727,460888.11,555367.0,,,730.2,0.5,HDFCBANK
2024-03-14,1462.1,1466.0,1444.3,1455.45,1460.4,26216079,380914.65,355538.0,,,727.725,0.5,HDFCBANK
2024-03-15,1450.0,1459.3,1442.25,1452.65,1455.45,71806902,1042752.33,423259.0,,,726.325,0.5,HDFCBANK
2024-03-18,1447.0,1456.0,1435.8,1446.05,1452.65,10718928,155149.94,298423.0,,,723.025,0.5,HDFCBANK
2024-03-19,1435.5,1452.4,1435.5,1449.35,1446.05,18091797,261558.73,357501.0,,,724.675,0.5,HDFCBANK
2024-03-20,1449.05,1451.65,1424.65,1431.05,1449.35,21803047,313051.43,391871.0,,,715.525,0.5,HDFCBANK
2024-03-21,1442.6,1451.25,1438.3,1445.75,1431.05,14461430,209030.15,261033.0,,,722.875,0.5,HDFCBANK
2024-03-22,1441.0,1450.75,1437.75,1442.85,1445.75,22990163,331929.8,408312.0,,,721.425,0.5,HDFCBANK
2024-03-26,1427.2,1437.95,1422.15,1425.4,1442.85,28422145,406504.67,519149.0,,,712.7,0.5,HDFCBANK
2024-03-27,1423.55,1447.95,1421.25,1440.7,1425.4,31084334,446454.17,412302.0,,,720.35,0.5,HDFCBANK
2024-03-28,1440.7,1460.5,1440.7,1447.9,1440.7,27796071,403486.58,370836.0,,,723.95,0.5,HDFCBANK
2024-04-01,1458.0,1473.8,1455.6,1470.5,1447.9,12599785,184797.62,266085.0,,,735.25,0.5,HDFCBANK
2024-04-02,1465.15,1494.85,1463.25,1480.15,1470.5,20612723,305733.59,315849.0,,,740.075,0.5,HDFCBANK
2024-04-03,1472.1,1495.65,1471.4,1482.3,1480.15,22792193,338477.86,381267.0,,,741.15,0.5,HDFCBANK
2024-04-04,1504.0,1530.0,1504.0,1527.6,1482.3,44467533,676197.07,638189.0,,,763.8,0.5,HDFCBANK
2024-04-05,1539.0,1554.5,1530.15,1549.55,1527.6,29527951,456307.07,446260.0,,,774.775,0.5,HDFCBANK
2024-04-08,1554.95,1557.25,1541.55,1546.6,1549.55,10241470,158414.81,282686.0,,,773.3,0.5,HDFCBANK
2024-04-09,1554.85,1554.85,1540.3,1548.55,1546.6,10942247,169327.84,286447.0,,,774.275,0.5,HDFCBANK
2024-04-10,1549.9,1549.9,1532.95,1536.35,1548.55,13903700,214035.51,264951.0,,,768.175,0.5,HDFCBANK
2024-04-12,1521.0,1529.85,1513.45,1518.95,1536.35,20542104,312267.3,353957.0,,,759.475,0.5,HDFCBANK
2024-04-15,1497.55,1510.0,1492.05,1494.7,1518.95,11707624,175753.73,303733.0,,,747.35,0.5,HDFCBANK
2024-04-16,1487.0,1512.9,1482.25,1509.25,1494.7,10372443,155529.84,254321.0,,,754.625,0.5,HDFCBANK
