trade_date,open,high,low,close,prev_close,volume,turnover_lakhs,num_trades,delivery_qty,delivery_pct,adjusted_close,adjustment_factor,symbol
2021-03-25,1346.75,1352.5,1327.6,1333.8,,8749994,,,,,1333.8,1.0,INFY
2021-03-26,1344.7,1356.7,1332.0,1336.2,,4922071,,,,,1336.2,1.0,INFY
2021-03-30,1346.9,1400.0,1336.15,1385.3,,10546381,,,,,1385.3,1.0,INFY
2021-03-31,1382.0,1388.0,1363.3,1368.05,,8220987,,,,,1368.05,1.0,INFY
2021-04-01,1380.0,1391.6,1371.0,1385.2,,5675155,,,,,1385.2,1.0,INFY
2021-04-05,1391.0,1425.0,1387.0,1409.9,,9479572,,,,,1409.9,1.0,INFY
2021-04-06,1423.0,1426.0,1406.45,1411.05,,5793571,,,,,1411.05,1.0,INFY
2021-04-07,1410.25,1434.95,1406.6,1430.2,,5879234,,,,,1430.2,1.0,INFY
2021-04-08,1430.0,1451.7,1421.0,1439.85,,5654434,,,,,1439.85,1.0,INFY
2021-04-09,1455.0,1455.0,1430.05,1441.05,,6052712,,,,,1441.05,1.0,INFY
2021-04-12,1474.0,1477.55,1415.0,1425.75,,20384532,,,,,1425.75,1.0,INFY
2021-04-13,1433.0,1435.25,1375.0,1397.15,,14855206,,,,,1397.15,1.0,INFY
2021-04-15,1332.3,1366.4,1320.0,1360.75,,25342491,,,,,1360.75,1.0,INFY
2021-04-16,1365.0,1370.85,1346.6,1353.75,,10879878,,,,,1353.75,1.0,INFY
2021-04-19,1340.0,1379.7,1332.35,1362.55,,12508028,,,,,1362.55,1.0,INFY
2021-04-20,1379.0,1379.0,1342.4,1351.35,,8560766,,,,,1351.35,1.0,INFY
2021-04-22,1355.55,1364.8,1345.15,1351.1,,6622446,,,,,1351.1,1.0,INFY
2021-04-23,1343.0,1348.4,1331.0,1333.8,,7316262,,,,,1333.8,1.0,INFY
2021-04-26,1332.25,1351.3,1321.0,1343.55,,7088606,,,,,1343.55,1.0,INFY
2021-04-27,1346.0,1353.0,1340.15,1348.5,,3636115,,,,,1348.5,1.0,INFY
2021-04-28,1358.0,1359.5,1344.6,1356.0,,4879234,,,,,1356.0,1.0,INFY
2021-04-29,1368.0,1369.0,1351.4,1356.35,,5412357,,,,,1356.35,1.0,INFY
2021-04-30,1346.3,1373.9,1345.9,1354.35,,8354677,,,,,1354.35,1.0,INFY
2021-05-03,1340.8,1361.0,1338.0,1352.05,,4560337,,,,,1352.05,1.0,INFY
2021-05-04,1354.0,1354.95,1324.1,1329.4,,4887060,,,,,1329.4,1.0,INFY
2021-05-05,1341.1,1343.9,1327.8,1341.5,,3939788,,,,,1341.5,1.0,INFY
2021-05-06,1345.0,1364.7,1337.4,1361.6,,4810090,,,,,1361.6,1.0,INFY
2021-05-07,1365.3,1373.05,1348.5,1352.55,,4991435,,,,,1352.55,1.0,INFY
2021-05-10,1349.85,1352.9,1335.05,1339.55,,7195348,,,,,1339.55,1.0,INFY
2021-05-11,1336.9,1341.0,1325.1,1330.65,,6420988,,,,,1330.65,1.0,INFY
2021-05-12,1330.0,1330.0,1314.5,1327.0,,5241898,,,,,1327.0,1.0,INFY
2021-05-14,1326.85,1326.85,1311.3,1316.4,,4824609,,,,,1316.4,1.0,INFY
2021-05-17,1320.3,1334.95,1320.3,1329.4,,5017129,,,,,1329.4,1.0,INFY
2021-05-18,1338.0,1344.6,1329.5,1340.0,,5620150,,,,,1340.0,1.0,INFY
2021-05-19,1342.0,1357.45,1333.25,1337.0,,4435878,,,,,1337.0,1.0,INFY
2021-05-20,1348.4,1349.1,1335.0,1339.3,,4490092,,,,,1339.3,1.0,INFY
2021-05-21,1347.5,1357.5,1346.35,1354.5,,4969733,,,,,1354.5,1.0,INFY
2021-05-24,1356.65,1363.0,1345.1,1348.05,,4225371,,,,,1348.05,1.0,INFY
2021-05-25,1358.0,1368.0,1354.45,1361.6,,4099340,,,,,1361.6,1.0,INFY
2021-05-26,1367.9,1400.0,1362.05,1397.25,,6850024,,,,,1397.25,1.0,INFY
2021-05-27,1404.2,1416.25,1391.7,1402.25,,15365391,,,,,1402.25,1.0,INFY
2021-05-28,1409.75,1414.0,1396.1,1405.05,,4261312,,,,,1405.05,1.0,INFY
2021-05-31,1401.5,1401.5,1383.0,1393.75,,4429904,,,,,1393.75,1.0,INFY
2021-06-01,1400.0,1401.0,1378.65,1387.2,,4791325,,,,,1387.2,1.0,INFY
2021-06-02,1380.75,1391.95,1365.0,1378.65,,9272276,,,,,1378.65,1.0,INFY
2021-06-03,1388.1,1399.0,1377.05,1389.65,,5115645,,,,,1389.65,1.0,INFY
2021-06-04,1393.95,1396.9,1377.65,1385.65,,4194328,,,,,1385.65,1.0,INFY
2021-06-07,1391.0,1392.0,1377.3,1389.65,,5154576,,,,,1389.65,1.0,INFY
2021-06-08,1396.0,1421.75,1395.55,1412.95,,7360630,,,,,1412.95,1.0,INFY
2021-06-09,1413.4,1425.0,1404.6,1415.3,,5394317,,,,,1415.3,1.0,INFY
2021-06-10,1424.0,1429.0,1419.0,1424.3,,3496575,,,,,1424.3,1.0,INFY
2021-06-11,1430.1,1451.6,1429.45,1446.9,,6140828,,,,,1446.9,1.0,INFY
2021-06-14,1471.0,1477.0,1453.45,1461.8,,7132294,,,,,1461.8,1.0,INFY
2021-06-15,1464.0,1476.0,1463.0,1473.9,,5403104,,,,,1473.9,1.0,INFY
2021-06-16,1472.7,1489.45,1467.5,1480.6,,7661710,,,,,1480.6,1.0,INFY
2021-06-17,1475.1,1502.65,1475.1,1495.3,,7677951,,,,,1495.3,1.0,INFY
2021-06-18,1509.0,1515.8,1487.4,1503.3,,13533974,,,,,1503.3,1.0,INFY
2021-06-21,1493.0,1505.8,1484.2,1500.3,,5454052,,,,,1500.3,1.0,INFY
2021-06-22,1509.7,1521.45,1502.1,1511.85,,6427862,,,,,1511.85,1.0,INFY
2021-06-23,1525.0,1525.0,1498.65,1503.15,,5529809,,,,,1503.15,1.0,INFY
2021-06-24,1517.0,1568.75,1511.2,1559.2,,10785137,,,,,1559.2,1.0,INFY
2021-06-25,1572.0,1578.0,1543.0,1574.2,,9780240,,,,,1574.2,1.0,INFY
2021-06-28,1572.9,1580.15,1560.6,1571.8,,5019178,,,,,1571.8,1.0,INFY
2021-06-29,1561.0,1573.65,1559.2,1563.05,,5913567,,,,,1563.05,1.0,INFY
2021-06-30,1572.05,1591.0,1572.05,1580.8,,6058722,,,,,1580.8,1.0,INFY
2021-07-01,1576.85,1576.85,1559.05,1560.4,,4814317,,,,,1560.4,1.0,INFY
2021-07-02,1558.95,1569.45,1542.6,1567.8,,5166064,,,,,1567.8,1.0,INFY
2021-07-05,1569.15,1585.0,1561.05,1578.95,,4058338,,,,,1578.95,1.0,INFY
2021-07-06,1573.7,1586.75,1557.1,1562.2,,4089574,,,,,1562.2,1.0,INFY
2021-07-07,1566.05,1570.55,1544.65,1564.6,,4797120,,,,,1564.6,1.0,INFY
2021-07-08,1568.0,1576.0,1549.0,1560.75,,3326813,,,,,1560.75,1.0,INFY
2021-07-09,1556.0,1569.9,1551.0,1562.9,,3436594,,,,,1562.9,1.0,INFY
2021-07-12,1570.55,1578.0,1533.75,1547.85,,4588982,,,,,1547.85,1.0,INFY
2021-07-13,1556.4,1556.4,1536.3,1544.95,,4456160,,,,,1544.95,1.0,INFY
2021-07-14,1554.0,1582.8,1538.1,1576.9,,5657716,,,,,1576.9,1.0,INFY
2021-07-15,1557.9,1596.85,1556.0,1580.8,,10021355,,,,,1580.8,1.0,INFY
2021-07-16,1573.75,1574.65,1549.6,1555.45,,6265593,,,,,1555.45,1.0,INFY
2021-07-19,1544.7,1552.9,1537.55,1541.7,,5669162,,,,,1541.7,1.0,INFY
2021-07-20,1538.3,1557.7,1538.0,1550.05,,5069939,,,,,1550.05,1.0,INFY
2021-07-22,1561.4,1592.85,1561.4,1590.2,,7854575,,,,,1590.2,1.0,INFY
2021-07-23,1588.55,1598.5,1585.05,1590.45,,4179719,,,,,1590.45,1.0,INFY
2021-07-26,1594.1,1611.65,1594.1,1603.9,,4586710,,,,,1603.9,1.0,INFY
2021-07-27,1605.0,1609.3,1597.9,1602.55,,5892859,,,,,1602.55,1.0,INFY
2021-07-28,1605.1,1607.6,1585.5,1605.6,,4686788,,,,,1605.6,1.0,INFY
2021-07-29,1600.1,1620.0,1600.1,1617.0,,4660873,,,,,1617.0,1.0,INFY
2021-07-30,1610.0,1623.4,1606.15,1610.5,,6234257,,,,,1610.5,1.0,INFY
2021-08-02,1627.45,1634.75,1619.2,1631.55,,5553389,,,,,1631.55,1.0,INFY
2021-08-03,1647.0,1658.65,1635.6,1655.2,,5513668,,,,,1655.2,1.0,INFY
2021-08-04,1669.1,1679.9,1639.05,1649.25,,6740391,,,,,1649.25,1.0,INFY
2021-08-05,1649.5,1666.0,1647.05,1653.55,,5420536,,,,,1653.55,1.0,INFY
2021-08-06,1657.0,1660.65,1644.0,1650.2,,3754855,,,,,1650.2,1.0,INFY
2021-08-09,1661.0,1667.45,1646.4,1663.3,,5018477,,,,,1663.3,1.0,INFY
2021-08-10,1668.0,1680.0,1661.05,1677.25,,6846517,,,,,1677.25,1.0,INFY
2021-08-11,1674.8,1684.0,1668.0,1677.55,,4899639,,,,,1677.55,1.0,INFY
2021-08-12,1679.15,1696.5,1674.0,1689.6,,5659579,,,,,1689.6,1.0,INFY
2021-08-13,1697.0,1722.5,1691.3,1712.2,,5612790,,,,,1712.2,1.0,INFY
2021-08-16,1707.7,1719.95,1690.1,1704.4,,4564109,,,,,1704.4,1.0,INFY
2021-08-17,1703.9,1748.9,1686.55,1741.65,,9510390,,,,,1741.65,1.0,INFY
2021-08-18,1729.0,1755.5,1727.0,1733.45,,6686090,,,,,1733.45,1.0,INFY
2021-08-20,1716.1,1745.0,1716.1,1732.95,,6206972,,,,,1732.95,1.0,INFY
2021-08-23,1735.75,1753.15,1732.0,1738.75,,6189051,,,,,1738.75,1.0,INFY
2021-08-24,1750.0,1757.0,1712.7,1720.85,,7602939,,,,,1720.85,1.0,INFY
2021-08-25,1718.0,1746.9,1718.0,1735.55,,6153253,,,,,1735.55,1.0,INFY
2021-08-26,1734.0,1746.0,1720.0,1727.7,,5302248,,,,,1727.7,1.0,INFY
2021-08-27,1725.0,1727.7,1705.2,1708.8,,6698514,,,,,1708.8,1.0,INFY
2021-08-30,1703.05,1718.65,1690.4,1698.05,,6559667,,,,,1698.05,1.0,INFY
2021-08-31,1700.15,1715.0,1685.85,1706.45,,12255438,,,,,1706.45,1.0,INFY
2021-09-01,1709.5,1709.5,1673.15,1677.75,,7801974,,,,,1677.75,1.0,INFY
2021-09-02,1677.35,1694.3,1662.65,1689.1,,6830050,,,,,1689.1,1.0,INFY
2021-09-03,1696.05,1705.95,1684.4,1700.65,,5339139,,,,,1700.65,1.0,INFY
2021-09-06,1705.15,1732.0,1699.35,1730.4,,4876026,,,,,1730.4,1.0,INFY
2021-09-07,1730.0,1734.9,1704.0,1706.65,,3520341,,,,,1706.65,1.0,INFY
2021-09-08,1700.85,1700.85,1682.95,1693.25,,4584896,,,,,1693.25,1.0,INFY
2021-09-09,1685.9,1694.9,1682.15,1691.6,,3331674,,,,,1691.6,1.0,INFY
2021-09-13,1683.0,1701.5,1675.2,1691.9,,4662374,,,,,1691.9,1.0,INFY
2021-09-14,1695.95,1695.95,1678.6,1686.15,,4945167,,,,,1686.15,1.0,INFY
2021-09-15,1693.25,1715.1,1690.2,1711.45,,4062344,,,,,1711.45,1.0,INFY
2021-09-16,1715.2,1719.25,1691.45,1702.25,,3246568,,,,,1702.25,1.0,INFY
2021-09-17,1697.0,1718.0,1684.45,1691.3,,7454864,,,,,1691.3,1.0,INFY
2021-09-20,1685.0,1707.7,1677.95,1687.85,,5660743,,,,,1687.85,1.0,INFY
2021-09-21,1700.0,1726.75,1684.65,1718.45,,4672222,,,,,1718.45,1.0,INFY
2021-09-22,1717.0,1738.9,1713.05,1716.9,,4553892,,,,,1716.9,1.0,INFY
2021-09-23,1732.0,1745.0,1721.1,1742.55,,3826090,,,,,1742.55,1.0,INFY
2021-09-24,1758.0,1788.0,1752.45,1763.85,,8280446,,,,,1763.85,1.0,INFY
2021-09-27,1768.75,1769.0,1718.1,1721.15,,5045337,,,,,1721.15,1.0,INFY
