trade_date,open,high,low,close,prev_close,volume,turnover_lakhs,num_trades,delivery_qty,delivery_pct,adjusted_close,adjustment_factor,symbol
2022-04-21,1269.54,1287.12,1260.82,1283.94,,21708633,,,,,641.97,0.5,RELIANCE
2022-04-22,1273.23,1293.12,1266.45,1273.19,,15054154,,,,,636.595,0.5,RELIANCE
2022-04-25,1265.62,1273.0,1229.27,1243.74,,17063215,,,,,621.87,0.5,RELIANCE
2022-04-26,1250.66,1289.89,1249.6,1280.96,,12227666,,,,,640.48,0.5,RELIANCE
2022-04-27,1271.82,1305.12,1271.46,1282.21,,19338945,,,,,641.105,0.5,RELIANCE
2022-04-28,1296.79,1315.74,1285.78,1301.36,,25614076,,,,,650.68,0.5,RELIANCE
2022-04-29,1318.11,1318.11,1281.72,1287.7,,18214862,,,,,643.85,0.5,RELIANCE
2022-05-02,1274.66,1294.74,1272.84,1283.18,,9467006,,,,,641.59,0.5,RELIANCE
2022-05-04,1285.28,1287.58,1235.11,1243.12,,19247660,,,,,621.56,0.5,RELIANCE
2022-05-05,1256.89,1259.89,1214.67,1218.77,,17210669,,,,,609.385,0.5,RELIANCE
2022-05-06,1205.53,1227.13,1196.92,1209.43,,19649948,,,,,604.715,0.5,RELIANCE
2022-05-09,1188.34,1198.56,1156.98,1162.2,,18083752,,,,,581.1,0.5,RELIANCE
2022-05-10,1151.44,1166.03,1134.37,1142.05,,19511677,,,,,571.025,0.5,RELIANCE
2022-05-11,1141.13,1146.8,1117.73,1130.35,,16643899,,,,,565.175,0.5,RELIANCE
2022-05-12,1120.29,1123.68,1093.75,1107.32,,20490321,,,,,553.66,0.5,RELIANCE
2022-05-13,1119.6,1143.6,1114.68,1119.88,,19308778,,,,,559.94,0.5,RELIANCE
2022-05-16,1123.5,1144.98,1115.28,1120.15,,13437911,,,,,560.075,0.5,RELIANCE
2022-05-17,1123.8,1172.16,1122.37,1167.2,,16551828,,,,,583.6,0.5,RELIANCE
2022-05-18,1172.05,1186.05,1157.56,1171.45,,17276788,,,,,585.725,0.5,RELIANCE
2022-05-19,1146.37,1159.52,1138.08,1144.45,,14699118,,,,,572.225,0.5,RELIANCE
2022-05-20,1159.52,1220.39,1154.67,1211.18,,21793091,,,,,605.59,0.5,RELIANCE
2022-05-23,1214.44,1224.61,1196.67,1203.08,,15252755,,,,,601.54,0.5,RELIANCE
2022-05-24,1203.13,1217.44,1198.84,1207.21,,13527818,,,,,603.605,0.5,RELIANCE
2022-05-25,1216.05,1226.07,1200.59,1205.44,,12714544,,,,,602.72,0.5,RELIANCE
2022-05-26,1211.16,1216.01,1175.9,1193.95,,17882023,,,,,596.975,0.5,RELIANCE
2022-05-27,1196.69,1202.28,1172.26,1188.41,,16521973,,,,,594.205,0.5,RELIANCE
2022-05-30,1206.82,1234.05,1197.22,1229.8,,13853398,,,,,614.9,0.5,RELIANCE
2022-05-31,1219.01,1236.27,1207.15,1214.97,,70620653,,,,,607.485,0.5,RELIANCE
2022-06-01,1215.73,1225.37,1207.38,1215.36,,9776989,,,,,607.68,0.5,RELIANCE
2022-06-02,1215.59,1261.03,1215.59,1257.26,,22126569,,,,,628.63,0.5,RELIANCE
2022-06-03,1266.36,1300.21,1265.43,1282.74,,23939791,,,,,641.37,0.5,RELIANCE
2022-06-06,1282.97,1298.66,1269.96,1277.22,,11093152,,,,,638.61,0.5,RELIANCE
2022-06-07,1278.31,1288.09,1270.07,1279.62,,12358255,,,,,639.81,0.5,RELIANCE
2022-06-08,1279.62,1283.43,1253.57,1257.15,,12479250,,,,,628.575,0.5,RELIANCE
2022-06-09,1250.66,1293.58,1250.66,1291.62,,17278305,,,,,645.81,0.5,RELIANCE
2022-06-10,1279.23,1287.54,1246.74,1252.63,,18093057,,,,,626.315,0.5,RELIANCE
2022-06-13,1222.97,1233.5,1207.42,1228.93,,17620803,,,,,614.465,0.5,RELIANCE
2022-06-14,1223.0,1233.06,1206.11,1212.87,,14714312,,,,,606.435,0.5,RELIANCE
2022-06-15,1208.0,1217.11,1192.7,1198.19,,11195535,,,,,599.095,0.5,RELIANCE
2022-06-16,1210.51,1227.15,1178.67,1181.44,,17111475,,,,,590.72,0.5,RELIANCE
2022-06-17,1181.44,1211.37,1179.64,1195.28,,24457187,,,,,597.64,0.5,RELIANCE
2022-06-20,1202.21,1207.79,1163.49,1173.62,,12066797,,,,,586.81,0.5,RELIANCE
2022-06-21,1181.44,1196.85,1166.81,1192.56,,11720049,,,,,596.28,0.5,RELIANCE
2022-06-22,1180.56,1180.66,1154.21,1156.33,,10617206,,,,,578.165,0.5,RELIANCE
2022-06-23,1160.7,1165.29,1128.37,1137.57,,19446323,,,,,568.785,0.5,RELIANCE
2022-06-24,1144.52,1158.83,1138.98,1153.77,,14240234,,,,,576.885,0.5,RELIANCE
2022-06-27,1174.49,1174.49,1145.23,1150.36,,15474529,,,,,575.18,0.5,RELIANCE
2022-06-28,1145.49,1169.42,1145.49,1166.53,,13572847,,,,,583.265,0.5,RELIANCE
2022-06-29,1157.07,1198.52,1154.21,1190.74,,19205146,,,,,595.37,0.5,RELIANCE
2022-06-30,1190.67,1207.24,1184.21,1197.89,,23112959,,,,,598.945,0.5,RELIANCE
2022-07-01,1188.32,1196.21,1091.45,1111.61,,81997149,,,,,555.805,0.5,RELIANCE
2022-07-04,1097.89,1126.98,1091.95,1113.92,,41857728,,,,,556.96,0.5,RELIANCE
2022-07-05,1118.21,1137.55,1115.49,1122.94,,17647327,,,,,561.47,0.5,RELIANCE
2022-07-06,1116.88,1126.96,1102.06,1113.07,,23943726,,,,,556.535,0.5,RELIANCE
