date,price,action,reward,portfolio_value,cash,shares
2025-11-07,1489.3,1,0.006093348777231576,123349.40829766716,6012.331465047129,78.78672989499768
2025-11-10,1493.4,1,0.002415362057348375,123672.43389023667,6012.331465047129,78.78672989499768
2025-11-11,1511.5,1,0.011264808686667892,125098.47370133612,6012.331465047129,78.78672989499768
2025-11-12,1510.9,1,-0.0005779500287640677,125051.20166339913,6012.331465047129,78.78672989499768
2025-11-13,1518.9,1,0.004827626424048847,125681.4955025591,6012.331465047129,78.78672989499768
2025-11-14,1518.3,1,-0.0005761964328278963,125634.2234646221,6012.331465047129,78.78672989499768
2025-11-17,1519.4,1,0.0004895853878978592,125720.88886750661,6012.331465047129,78.78672989499768
2025-11-18,1518.9,1,-0.0005133889550700122,125681.4955025591,6012.331465047129,78.78672989499768
2025-11-19,1549.1,0,0.018754685473106703,128060.85474538803,6012.331465047129,78.78672989499768
2025-11-20,1546.6,1,-0.0017392561233061119,127863.88792065052,6012.331465047129,78.78672989499768
2025-11-21,1535.9,2,-0.0011534330319387532,127742.03636419492,127742.03636419492,0.0
2025-11-24,1539.7,2,-0.0002,127742.03636419492,127742.03636419492,0.0
2025-11-25,1569.9,0,0.0,127742.03636419492,127742.03636419492,0.0
2025-11-26,1563.4,0,0.0,127742.03636419492,127742.03636419492,0.0
2025-11-27,1567.5,0,0.0,127742.03636419492,127742.03636419492,0.0
2025-11-28,1566.1,2,-0.0002,127742.03636419492,127742.03636419492,0.0
2025-12-01,1546.3,2,-0.0002,127742.03636419492,127742.03636419492,0.0
2025-12-02,1538.8,2,-0.0002,127742.03636419492,127742.03636419492,0.0
2025-12-03,1535.6,0,0.0,127742.03636419492,127742.03636419492,0.0
2025-12-04,1540.6,0,0.0,127742.03636419492,127742.03636419492,0.0
2025-12-05,1543.0,0,0.0,127742.03636419492,127742.03636419492,0.0
2025-12-08,1529.4,2,-0.0002,127742.03636419492,127742.03636419492,0.0
2025-12-09,1536.9,0,0.0,127742.03636419492,127742.03636419492,0.0
2025-12-10,1545.0,0,0.0,127742.03636419492,127742.03636419492,0.0
